[(p1,24)]
[(m3,43)]
[(w4,48)]
(a5,54)
(a4,31)
(a8,58)
(a1,10)
(a2,5)
(a0,3)
(a7,51)
(a3,99)
(a9,86)
(b8,56)
(b7,24)
(b1,64)
(b9,50)
(b5,10)
(b6,16)
(b2,57)
(b3,23)
(c2,19)
(c4,87)
(c3,43)
(c5,55)
(c9,39)
(c6,36)
(c8,25)
(c7,86)
(c0,67)
(c1,70)
(d8,14)
(d9,81)
(d6,77)
(d1,96)
(d5,36)
(d2,77)
(d7,31)
(d4,79)
(e3,38)
(e7,30)
(e5,48)
(e0,22)
(e9,24)
(e6,46)
(e2,10)
(e8,100)
(f5,72)
(f8,71)
(f0,18)
(f1,18)
(f3,47)
(f2,40)
(f9,31)
(f7,59)
(f4,56)
(g4,34)
(g7,63)
(g8,44)
(g3,22)
(g6,87)
(g0,73)
(g9,55)
(g5,77)
(h8,79)
(h4,38)
(h7,93)
(h6,69)
(h5,19)
(h9,94)
(h2,85)
(h0,96)
(i2,71)
(i6,94)
(i4,77)
(i1,50)
(i9,76)
(i5,36)
(j1,49)
(j0,94)
(j5,22)
(j7,72)
(j4,67)
(j8,60)
(j2,53)
(j6,49)
(k1,8)
(k5,34)
(k8,34)
(k7,78)
(k3,13)
(k0,82)
(k9,29)
(k2,35)
(k4,36)
(l2,67)
(l6,55)
(l1,10)
(l7,54)
(l8,88)
(l5,91)
(l9,78)
(l0,78)
(m2,40)
(m3,43)
(m6,66)
(m9,16)
(m0,93)
(m8,26)
(m7,92)
(n8,34)
(n6,76)
(n5,79)
(n9,4)
(n4,41)
(n1,42)
(o8,96)
(o2,53)
(o4,78)
(o3,66)
(o6,55)
(o9,53)
(o5,13)
(o0,93)
(p2,83)
(p4,10)
(p7,62)
(p5,71)
(p3,47)
(p6,11)
(q9,79)
(q4,0)
(q2,29)
(q3,34)
(q1,99)
(q0,5)
(q6,42)
(q5,59)
(q7,3)
(r8,19)
(r4,45)
(r3,68)
(r1,56)
(r7,47)
(r6,87)
(r5,94)
(r9,10)
(r0,55)
(r2,34)
(s5,59)
(s0,32)
(s1,69)
(s9,15)
(s3,37)
(s8,10)
(s6,63)
(s4,38)
(t1,71)
(t7,6)
(t2,11)
(t8,10)
(t4,37)
(t9,11)
(t0,44)
(t5,53)
(u9,22)
(u1,30)
(u7,90)
(u6,32)
(u5,31)
(u0,53)
(u2,97)
(u8,35)
(v9,62)
(v1,44)
(v3,99)
(v7,23)
(v6,98)
(v4,76)
(v0,59)
(v5,65)
(w5,17)
(w4,48)
(w0,23)
(w1,73)
(w2,96)
(w7,3)
(w9,61)
(x5,40)
(x3,23)
(x1,2)
(x6,27)
(x7,43)
(x8,48)
(x4,1)
(x9,45)
(x2,91)
(y1,53)
(y0,60)
(y8,0)
(y3,20)
(y6,55)
(y4,96)
(y9,33)
(y7,77)
(y2,7)
(z0,7)
(z1,47)
(z7,16)
(z3,82)
(z6,11)
(z9,91)
Waiting...
[(b1,KVSERROR)]
(a2,33)
(a7,9)
(a6,55)
(a5,34)
(a9,76)
(a4,98)
(a8,1)
(a3,99)
(b4,15)
(b6,86)
(b9,17)
(b8,57)
(b2,18)
(b7,55)
(b5,17)
(b3,71)
(c4,86)
(c1,22)
(c2,84)
(c3,43)
(c9,78)
(c6,39)
(c8,20)
(c7,9)
(c0,5)
(d3,14)
(d7,11)
(d0,88)
(d1,67)
(d9,38)
(d6,77)
(d5,39)
(d4,77)
(e5,63)
(e8,63)
(e9,73)
(e2,91)
(e3,72)
(e4,82)
(e1,66)
(e7,23)
(e0,17)
(f6,24)
(f2,92)
(f9,93)
(f8,60)
(f5,30)
(f3,47)
(f7,7)
(f4,8)
(g6,91)
(g3,85)
(g9,36)
(g1,55)
(g7,52)
(g4,7)
(g2,65)
(g5,42)
(h5,86)
(h3,1)
(h4,11)
(h0,21)
(h6,51)
(h8,68)
(h7,70)
(h9,99)
(h2,69)
(i5,71)
(i0,34)
(i2,52)
(i7,31)
(i3,83)
(i6,61)
(i8,43)
(i1,61)
(i9,79)
(j3,20)
(j9,20)
(j1,95)
(j0,88)
(j5,45)
(j7,53)
(j4,25)
(j8,48)
(j2,93)
(k5,48)
(k6,70)
(k2,39)
(k0,62)
(k8,39)
(k7,23)
(k9,73)
(k4,64)
(l8,88)
(l4,98)
(l9,71)
(l3,21)
(l6,57)
(l1,59)
(l5,91)
(m8,43)
(m2,19)
(m5,33)
(m4,19)
(m3,29)
(m9,1)
(m0,90)
(n7,18)
(n2,41)
(n6,81)
(n0,1)
(n5,80)
(n1,26)
(n3,61)
(n8,14)
(o7,63)
(o1,88)
(o9,87)
(o3,83)
(o4,6)
(o2,70)
(o6,89)
(o0,27)
(p3,79)
(p0,59)
(p9,70)
(p1,75)
(p7,10)
(p5,89)
(q4,11)
(q1,92)
(q8,92)
(q7,84)
(q2,11)
(q5,62)
(r6,3)
(r7,87)
(r4,68)
(r1,45)
(r0,32)
(r5,41)
(r9,23)
(s0,46)
(s2,36)
(s5,5)
(s9,32)
(s7,99)
(s3,14)
(s6,33)
(s4,43)
(t9,24)
(t6,48)
(t8,47)
(t0,70)
(t3,28)
(t1,44)
(t2,18)
(t4,32)
(t5,8)
(u6,98)
(u1,83)
(u4,51)
(u5,63)
(u3,39)
(u9,49)
(u2,60)
(v0,84)
(v5,81)
(v8,72)
(v3,91)
(v9,20)
(v6,51)
(v4,14)
(w3,68)
(w7,75)
(w8,53)
(w6,39)
(w4,88)
(w0,23)
(w2,58)
(w9,86)
(x1,34)
(x3,65)
(x7,80)
(x9,59)
(x6,27)
(x2,47)
(y7,75)
(y6,38)
(y1,36)
(y8,53)
(y3,90)
(y4,34)
(y2,98)
(z8,15)
(z1,29)
(z9,70)
(z3,23)
(z2,49)
(z0,22)
(z7,82)
[(d8,KVSMISSING)(g0,KVSMISSING)]
[(p3,79)]
[(n1,26)]
[(t8,39)]
Waiting...
[(a6,67)]
(a1,3)
(a0,59)
(a2,33)
(a7,7)
(a6,67)
(a5,34)
(a9,29)
(a8,93)
(b0,4)
(b1,48)
(b4,85)
(b6,66)
(b9,30)
(b8,24)
(b2,60)
(b7,55)
(b5,17)
(b3,71)
(c4,59)
(c1,34)
(c2,84)
(c3,43)
(c9,31)
(c6,0)
(c8,34)
(c7,85)
(c0,5)
(d3,11)
(d7,86)
(d0,95)
(d9,38)
(d6,86)
(d5,13)
(d4,44)
(e6,41)
(e5,36)
(e8,73)
(e2,77)
(e1,78)
(f5,26)
(f2,92)
(f9,65)
(f8,60)
(f3,47)
(f7,90)
(f4,8)
(g8,17)
(g6,91)
(g9,36)
(g1,55)
(g7,52)
(g2,89)
(h4,61)
(h0,3)
(h5,86)
(h3,1)
(h6,51)
(h8,68)
(h7,22)
(h9,87)
(h2,69)
(i4,46)
(i5,14)
(i0,100)
(i2,52)
(i7,31)
(i6,56)
(i8,43)
(i1,18)
(i9,47)
(j9,20)
(j1,95)
(j0,88)
(j5,91)
(j7,53)
(j4,25)
(j8,2)
(k5,48)
(k6,70)
(k2,39)
(k8,78)
(k7,52)
(k9,73)
(k4,72)
(l0,69)
(l7,95)
(l8,88)
(l4,25)
(l9,90)
(l3,94)
(l1,59)
(l5,91)
(m7,49)
(m8,43)
(m2,74)
(m5,49)
(m4,49)
(m3,29)
(m9,59)
(m0,90)
(n9,79)
(n4,60)
(n7,43)
(n2,41)
(n6,81)
(n0,51)
(n5,37)
(n1,26)
(n8,34)
(o0,56)
(o1,6)
(o5,43)
(o7,20)
(o9,7)
(o3,54)
(o4,6)
(o2,70)
(o6,89)
(p2,74)
(p4,88)
(p6,43)
(p8,2)
(p3,79)
(p0,18)
(p9,70)
(p1,75)
(p7,40)
(p5,89)
(q0,42)
(q4,56)
(q1,11)
(q8,92)
(q2,10)
(q5,8)
(r3,22)
(r6,79)
(r4,68)
(r0,53)
(r5,41)
(r9,71)
(s1,50)
(s0,73)
(s5,42)
(s9,48)
(s7,99)
(s4,94)
(t4,60)
(t7,63)
(t9,22)
(t6,32)
(t8,57)
(t0,70)
(t1,80)
(t2,18)
(t5,80)
(u7,48)
(u6,46)
(u1,34)
(u4,21)
(u5,5)
(u3,51)
(u9,78)
(v2,61)
(v5,71)
(v8,72)
(v6,51)
(v4,86)
(w3,76)
(w7,75)
(w8,53)
(w6,39)
(w0,11)
(w2,24)
(w9,86)
(x5,88)
(x8,41)
(x1,3)
(x3,7)
(x7,76)
(x6,27)
(x2,47)
