[(o7,75)]
(a0,38)
(a9,89)
(a3,17)
(a8,92)
(a4,73)
(a5,95)
(a6,54)
(a1,88)
(a2,29)
(b6,77)
(b0,78)
(b4,33)
(b8,89)
(b3,19)
(b1,62)
(b7,75)
(b5,3)
(c9,93)
(c1,40)
(c5,5)
(c2,33)
(c0,37)
(c7,91)
(c8,79)
(d2,44)
(d6,42)
(d4,76)
(d3,81)
(d0,41)
(d5,85)
(e4,82)
(e5,40)
(e7,91)
(e2,5)
(e9,24)
(f3,37)
(f5,67)
(f9,34)
(f7,48)
(f4,26)
(f8,66)
(f1,37)
(f6,95)
(g5,100)
(g3,62)
(g9,29)
(g1,93)
(g4,41)
(g0,99)
(g2,34)
(g7,2)
(h1,85)
(h7,82)
(h3,87)
(h5,12)
(h9,76)
(h2,12)
(i0,19)
(i2,88)
(i5,58)
(i4,43)
(i6,5)
(i3,48)
(i1,5)
(j4,81)
(j2,44)
(j3,1)
(j6,31)
(j9,14)
(j8,21)
(j5,72)
(j1,3)
(j0,86)
(k0,64)
(k9,6)
(k2,97)
(k5,91)
(k8,9)
(k7,97)
(k1,45)
(l4,27)
(l9,88)
(l1,33)
(l3,39)
(l8,38)
(l2,53)
(l7,4)
(m6,84)
(m5,60)
(m3,50)
(m1,57)
(m0,97)
(m8,3)
(m9,14)
(m2,82)
(m4,71)
(n8,63)
(n7,92)
(n4,0)
(n0,80)
(n5,49)
(n2,92)
(n1,50)
(n6,59)
(o5,74)
(o9,24)
(o3,88)
(o4,10)
(o2,48)
(o6,79)
(p6,21)
(p2,58)
(p1,0)
(p9,37)
(p4,53)
(p3,85)
(p7,83)
(q1,71)
(q5,68)
(q3,34)
(q2,39)
(q0,94)
(q6,86)
(q7,61)
(q4,65)
(q8,56)
(r7,99)
(r8,51)
(r9,26)
(r5,46)
(r3,20)
(r4,0)
(r1,16)
(s2,55)
(s8,29)
(s6,1)
(s4,60)
(s3,50)
(s9,58)
(t9,34)
(t5,1)
(t3,75)
(t4,38)
(t7,58)
(u2,20)
(u3,39)
(u8,73)
(u9,16)
(u1,23)
(u5,96)
(u4,60)
(u0,98)
(v5,80)
(v4,26)
(v9,21)
(v6,72)
(v8,50)
(v1,39)
(w7,43)
(w4,44)
(w2,47)
(w9,30)
(w1,53)
(w8,11)
(w6,94)
(w3,28)
(x9,13)
(x0,15)
(x3,72)
(x6,6)
(x2,43)
(y3,60)
(y9,48)
(y7,91)
(y4,23)
(y8,34)
(z8,61)
(z5,28)
(z9,5)
(z2,25)
(z7,69)
(z0,9)
(z3,96)
(z4,73)
(z1,2)
[(m6,84)]
[(h1,85)]
Waiting...
[(h2,12)]
(a7,73)
(a0,38)
(a9,3)
(a3,13)
(a8,53)
(a4,76)
(b1,73)
(b7,31)
(b2,87)
(b8,3)
(b9,3)
(b0,41)
(b4,76)
(c8,76)
(c3,49)
(c6,24)
(c4,54)
(c9,61)
(c1,20)
(c5,60)
(c2,86)
(c0,17)
(c7,37)
(d7,20)
(d4,31)
(d8,30)
(d9,93)
(d1,67)
(d6,27)
(d0,73)
(d5,6)
(e7,20)
(e3,30)
(e4,3)
(e8,97)
(e5,38)
(e1,90)
(e0,83)
(e9,24)
(f2,8)
(f1,24)
(f0,27)
(f3,21)
(f5,67)
(f7,53)
(f4,26)
(f8,36)
(f6,17)
(g6,14)
(g9,64)
(g4,72)
(g8,18)
(g5,79)
(g3,26)
(g1,28)
(g0,13)
(g2,25)
(g7,23)
(h0,2)
(h7,12)
(h8,60)
(h4,5)
(h3,97)
(h6,100)
(h1,85)
(h5,12)
(h2,12)
(i6,76)
(i9,8)
(i4,9)
(i7,78)
(i8,38)
(i0,19)
(i2,88)
(i5,20)
(i3,29)
(i1,70)
(j7,10)
(j4,17)
(j2,93)
(j3,21)
(j6,9)
(j9,21)
(j5,45)
(j0,86)
(k5,94)
(k4,35)
(k0,62)
(k9,90)
(k2,0)
(k7,3)
(l6,78)
(l0,49)
(l5,80)
(l4,46)
(l9,88)
(l3,63)
(l2,41)
(l7,42)
(m7,17)
(m8,39)
(m6,73)
(m5,27)
(m3,85)
(m0,97)
(m9,54)
(m2,56)
(m4,3)
(n8,29)
(n9,75)
(n0,57)
(n2,14)
(n1,5)
(n6,14)
(o8,71)
(o9,5)
(o0,58)
(o7,96)
(o5,96)
(o3,89)
(o2,46)
(p6,77)
(p4,67)
(p0,1)
(p5,95)
(p2,47)
(p1,36)
(p9,37)
(p7,99)
(q3,81)
(q2,26)
(q5,4)
(q9,75)
(q1,93)
(q0,25)
(q6,48)
(q7,14)
(q4,61)
(r2,35)
(r0,27)
(r1,37)
(r6,9)
(r7,12)
(r8,36)
(r9,26)
(r5,46)
(r3,96)
(r4,64)
(s1,7)
(s8,29)
(s0,10)
(s5,26)
(s2,47)
(s6,93)
(s4,95)
(s9,19)
(t8,21)
(t3,63)
(t6,58)
(t0,28)
(t5,12)
(t4,65)
(t7,52)
(u6,55)
(u7,77)
(u3,10)
(u8,47)
(u2,50)
(u9,39)
(u5,85)
(u4,16)
(u0,78)
(v6,38)
(v2,68)
(v8,66)
(v0,26)
(v7,92)
(v5,80)
(v4,67)
(v1,31)
(w1,38)
(w7,66)
(w2,72)
(w9,73)
(w5,41)
(w6,94)
(x0,19)
(x8,59)
(x5,7)
(x1,47)
(x7,64)
(x9,59)
(x3,6)
(x6,26)
(x2,4)
(y2,10)
(y1,10)
(y6,66)
(y0,23)
(y3,0)
(y9,31)
(y7,19)
(y4,16)
(y8,33)
(z6,65)
(z3,74)
(z8,72)
(z5,30)
(z9,5)
(z2,15)
(z7,23)
(z0,60)
(z4,85)
[(x7,64)]
(a6,18)
(a7,73)
(a0,38)
(a9,3)
(a3,13)
(a8,53)
(a4,76)
(b7,31)
(b2,87)
(b8,3)
(b9,3)
(b0,41)
(b4,76)
(c8,76)
(c3,49)
(c6,24)
(c4,54)
(c9,61)
(c1,20)
(c5,60)
(c2,86)
(c0,17)
(c7,37)
(d7,20)
(d4,11)
(d8,30)
(d9,93)
(d1,67)
(d6,27)
(d0,73)
(d5,6)
(e2,8)
(e7,20)
(e3,30)
(e4,3)
(e8,97)
