[(h2,0)]
[(f1,12)]
[(y9,100)]
(a4,43)
(a2,48)
(a5,59)
(a0,43)
(a8,98)
(a7,36)
(a3,38)
(a9,88)
(b9,23)
(b5,92)
(b6,87)
(b2,91)
(b1,62)
(b4,27)
(b3,63)
(c5,52)
(c9,66)
(c6,90)
(c3,98)
(c4,85)
(c8,67)
(c7,14)
(c0,93)
(c1,87)
(c2,69)
(d8,46)
(d9,51)
(d6,78)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,78)
(d5,22)
(d4,57)
(e2,35)
(e3,14)
(e8,87)
(e9,60)
(e1,78)
(e7,88)
(e6,91)
(e4,34)
(f1,12)
(f3,23)
(f5,40)
(f0,31)
(f2,4)
(f6,84)
(f9,8)
(f7,77)
(f4,38)
(g6,75)
(g2,96)
(g0,55)
(g4,3)
(g9,20)
(g7,82)
(g3,41)
(g1,28)
(g5,47)
(h4,10)
(h1,7)
(h8,9)
(h7,95)
(h6,75)
(h5,74)
(h9,3)
(h2,0)
(h0,93)
(i9,74)
(i6,51)
(i3,11)
(i1,95)
(i5,43)
(i4,40)
(i2,48)
(i0,6)
(j5,53)
(j7,26)
(j4,0)
(j8,44)
(j2,12)
(j6,11)
(k6,30)
(k1,17)
(k0,39)
(k5,30)
(k9,7)
(k2,39)
(k4,3)
(l1,40)
(l8,67)
(l3,64)
(l4,51)
(l5,3)
(l9,28)
(l0,31)
(l7,52)
(m6,15)
(m2,100)
(m9,91)
(m1,57)
(m0,70)
(m4,57)
(m8,68)
(m7,88)
(m3,41)
(n7,80)
(n4,24)
(n9,84)
(n0,23)
(n1,62)
(n3,90)
(o4,78)
(o3,80)
(o6,87)
(o9,87)
(o5,79)
(o7,18)
(o1,36)
(o0,61)
(o2,76)
(p2,48)
(p3,16)
(p7,88)
(p8,39)
(p6,100)
(p5,67)
(q0,98)
(q6,80)
(q5,26)
(q3,47)
(q7,4)
(q4,1)
(q8,74)
(q9,48)
(q2,87)
(r9,8)
(r1,21)
(r4,34)
(r3,14)
(r0,55)
(r2,0)
(s5,88)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,38)
(t0,54)
(t5,48)
(t7,62)
(t6,92)
(t3,35)
(t1,96)
(t8,0)
(u7,92)
(u6,76)
(u5,79)
(u0,99)
(u2,65)
(u9,11)
(u8,95)
(v8,3)
(v7,19)
(v9,11)
(v2,9)
(v1,79)
(v6,10)
(v4,14)
(v0,40)
(v5,30)
(w0,77)
(w1,22)
(w6,44)
(w7,46)
(w5,60)
(w2,26)
(w4,93)
(w9,99)
(x7,25)
(x5,78)
(x1,35)
(x3,42)
(x8,2)
(x6,24)
(x4,8)
(x9,90)
(x2,28)
(y6,3)
(y4,38)
(y9,100)
(y7,39)
(y8,76)
(y5,28)
(y1,95)
(y2,5)
(z0,44)
(z8,11)
(z4,50)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
[(g0,55)]
[(i4,40)]
(a4,43)
(a2,48)
